1 はずれ
左2→中1→右2 ×
左2→中2→右3 ×
左2→中3→右3 ×
左2→中4→右2 ×
左2→中5→右3 ×
左2→中6→右3 ×
左2→中7→右3 ×
左2→中8→右3 ×
左2→中9→右2 ×
左2→中10→右3 ×
左2→中11→右3 ×
左2→中12→右2 ×
左2→中13→右3 ×
左2→中14→右3 ×
左2→中15→右3 ×
左2→中16→右3 ×
左2→中17→右2 ×
左2→中18→右3 ×
左2→中19→右3 ×
左2→中20→右3 ×
左2→中21→右3 ×
左2→中1 ×
左4→中1→右3 ×
左4→中2→右3 ×
左4→中3→右3 ×
左4→中4→右3 ×
左4→中5→右3 ×
左4→中6→右3 ×
左4→中7→右3 ×
左4→中8→右3 ×
左4→中9→右3 ×
左4→中10→右3 ×
左4→中11→右3 ×
左4→中12→右2 ×
左4→中13→右3 ×
左4→中14→右3 ×
左4→中15→右3 ×
左4→中16→右3 ×
左4→中17→右2 ×
左4→中18→右3 ×
左4→中19→右3 ×
左4→中20→右3 ×
左4→中21→右3 ×
左4→中1 ×
左11→中1→右2 ×
左11→中2→右3 ×
左11→中3→右3 ×
左11→中4→右2 ×
左11→中5→右3 ×
左11→中6→右3 ×
左11→中7→右3 ×
左11→中8→右3 ×
左11→中9→右2 ×
左11→中10→右3 ×
左11→中11→右3 ×
左11→中12→右2 ×
左11→中13→右3 ×
左11→中14→右3 ×
左11→中15→右3 ×
左11→中16→右3 ×
左11→中17→右2 ×
左11→中18→右3 ×
左11→中19→右3 ×
左11→中20→右3 ×
左11→中21→右3 ×
左11→中1 ×
左13→中1→右3 ×
左13→中2→右3 ×
左13→中3→右3 ×
左13→中4→右3 ×
左13→中5→右3 ×
左13→中6→右3 ×
左13→中7→右3 ×
左13→中8→右3 ×
左13→中9→右3 ×
左13→中10→右3 ×
左13→中11→右3 ×
左13→中12→右2 ×
左13→中13→右3 ×
左13→中14→右3 ×
左13→中15→右3 ×
左13→中16→右3 ×
左13→中17→右2 ×
左13→中18→右3 ×
左13→中19→右3 ×
左13→中20→右3 ×
左13→中21→右3 ×
左13→中1 ×
中1→左2→右2 ×
中1→左4→右3 ×
中1→左11→右2 ×
中1→左13→右3 ×
中1→左5 ×
中2→左2→右3 ×
中2→左4→右3 ×
中2→左11→右3 ×
中2→左13→右3 ×
中2→左5 ×
中3→左2→右3 ×
中3→左4→右3 ×
中3→左11→右3 ×
中3→左13→右3 ×
中3→左5 ×
中4→左2→右2 ×
中4→左4→右3 ×
中4→左11→右2 ×
中4→左13→右3 ×
中4→左5 ×
中5→左2→右3 ×
中5→左4→右3 ×
中5→左11→右3 ×
中5→左13→右3 ×
中5→左5 ×
中6→左2→右3 ×
中6→左4→右3 ×
中6→左11→右3 ×
中6→左13→右3 ×
中6→左5 ×
中7→左2→右3 ×
中7→左4→右3 ×
中7→左11→右3 ×
中7→左13→右3 ×
中7→左5 ×
中8→左2→右3 ×
中8→左4→右3 ×
中8→左11→右3 ×
中8→左13→右3 ×
中8→左5 ×
中9→左2→右2 ×
中9→左4→右3 ×
中9→左11→右2 ×
中9→左13→右3 ×
中9→左5 ×
中10→左2→右3 ×
中10→左4→右3 ×
中10→左11→右3 ×
中10→左13→右3 ×
中10→左5 ×
中11→左2→右3 ×
中11→左4→右3 ×
中11→左11→右3 ×
中11→左13→右3 ×
中11→左5 ×
中12→左2→右2 ×
中12→左4→右2 ×
中12→左11→右2 ×
中12→左13→右2 ×
中12→左5 ×
中13→左2→右3 ×
中13→左4→右3 ×
中13→左11→右3 ×
中13→左13→右3 ×
中13→左5 ×
中14→左2→右3 ×
中14→左4→右3 ×
中14→左11→右3 ×
中14→左13→右3 ×
中14→左5 ×
中15→左2→右3 ×
中15→左4→右3 ×
中15→左11→右3 ×
中15→左13→右3 ×
中15→左5 ×
中16→左2→右3 ×
中16→左4→右3 ×
中16→左11→右3 ×
中16→左13→右3 ×
中16→左5 ×
中17→左2→右2 ×
中17→左4→右2 ×
中17→左11→右2 ×
中17→左13→右2 ×
中17→左5 ×
中18→左2→右3 ×
中18→左4→右3 ×
中18→左11→右3 ×
中18→左13→右3 ×
中18→左5 ×
中19→左2→右3 ×
中19→左4→右3 ×
中19→左11→右3 ×
中19→左13→右3 ×
中19→左5 ×
中20→左2→右3 ×
中20→左4→右3 ×
中20→左11→右3 ×
中20→左13→右3 ×
中20→左5 ×
中21→左2→右3 ×
中21→左4→右3 ×
中21→左11→右3 ×
中21→左13→右3 ×
中21→左5 ×
中1で詰みました
